Designator,Mid X,Mid Y,Rotation,Layer
C1,134.5,-79.0,90.0,top
C2,116.0,-75.0,270.0,top
C3,135.0,-70.0,180.0,top
C4,144.0,-67.0,90.0,top
C5,138.0,-76.0,90.0,top
C6,132.0,-67.5,180.0,top
C7,128.0,-74.5,90.0,top
D1,115.0,-71.0,0.0,top
D2,148.0,-66.5,90.0,top
D3,97.0,-56.0,0.0,top
J1,150.5,-56.68,90.0,top
J3,97.58,-119.025,90.0,top
J4,97.44,-48.025,90.0,top
J5,133.82,-56.67,180.0,top
J6,118.05,-99.25,270.0,bottom
LCD RST,111.0,-78.075,90.0,top
Q1,113.5,-59.4375,270.0,top
Q2,118.0,-59.4375,270.0,top
R1,111.5,-68.5,180.0,top
R10,108.49,-74.0,0.0,top
R11,105.5,-54.5,270.0,top
R12,105.5,-62.0,270.0,top
R13,119.5,-52.0,0.0,top
R15,96.0,-58.5,270.0,top
R2,150.0,-62.5,180.0,top
R3,150.0,-50.5,0.0,top
R4,115.5,-63.0,0.0,top
R5,112.5,-64.0,90.0,top
R6,132.0,-64.5,0.0,top
R7,124.0,-91.0,0.0,bottom
R8,114.5,-80.5,180.0,top
R9,114.0,-76.0,0.0,top
SW2,110.0,-55.0,180.0,top
SW3,119.5,-55.0,180.0,top
U1,86.09,-77.25,90.0,top
U2,122.0,-74.5,270.0,top
U3,142.75,-70.4375,270.0,top
